,Best,Good,Great,Greatest,ID,Perfect
0,29,22,21,5,tt0111161,3
1,20,21,29,15,tt0068646,13
2,19,22,22,6,tt0071562,8
3,31,34,22,1,tt0468569,5
4,13,9,27,5,tt0050083,6
5,13,17,6,4,tt0108052,4
6,15,9,9,4,tt0110912,0
7,27,22,27,11,tt0167260,2
8,31,27,24,10,tt0060196,3
9,19,12,23,2,tt0137523,4
10,8,36,30,9,tt0120737,11
11,24,15,25,7,tt0080684,2
12,18,10,18,2,tt0109830,3
13,12,18,16,2,tt1375666,4
14,17,13,17,6,tt0167261,1
15,17,19,20,8,tt0073486,6
16,23,13,21,7,tt0099685,5
17,13,10,20,0,tt0133093,3
18,6,6,26,5,tt0047478,5
19,16,11,25,12,tt0076759,3
20,7,12,8,1,tt0317248,6
21,18,20,15,6,tt0114369,6
22,20,11,9,2,tt0102926,6
23,14,19,16,4,tt0038650,3
24,9,14,11,8,tt0114814,3
